,Q,W
2017/05/01 10:00,6,70
2017/05/01 11:00,6,69.7058823529
2017/05/01 12:00,7,69.3137254902
2017/05/01 13:00,7,69
2017/05/01 14:00,7,69
2017/05/01 15:00,7,69
2017/05/01 16:00,7,69
2017/05/01 17:00,7,68.125
2017/05/01 18:00,7,69
2017/05/01 19:00,6,69
2017/05/01 20:00,6,69
2017/05/01 21:00,6,68.36
2017/05/01 22:00,6,68
2017/05/01 23:00,6,68
2017/05/02 00:00,6,68
2017/05/02 01:00,6,68
2017/05/02 02:00,6,68
2017/05/02 03:00,6,68
2017/05/02 04:00,6,68
2017/05/02 05:00,6,68
2017/05/02 06:00,6,68
2017/05/02 07:00,6,67.6428571429
2017/05/02 08:00,6,68
2017/05/02 09:00,6,68
2017/05/02 10:00,6,67.8113207547
2017/05/02 11:00,6,67.4339622642
2017/05/02 12:00,5,67.0566037736
2017/05/02 13:00,5,67.5862068966
2017/05/02 14:00,5,68.380952381
2017/05/02 15:00,5,69.4375
2017/05/02 16:00,5,70.6875
2017/05/02 17:00,5,71
2017/05/02 18:00,5,71
2017/05/02 19:00,5,71.9047619048
2017/05/02 20:00,5,72
2017/05/02 21:00,5,71.6818181818
2017/05/02 22:00,5,70.8333333333
2017/05/02 23:00,5,70.1666666667
2017/05/03 00:00,5,70.1176470588
2017/05/03 01:00,5,70.7058823529
2017/05/03 02:00,5,71
2017/05/03 03:00,5,70
2017/05/03 04:00,5,70
2017/05/03 05:00,5,69.5882352941
2017/05/03 06:00,5,69
2017/05/03 07:00,5,69
2017/05/03 08:00,5,69
2017/05/03 09:00,5,69.3333333333
2017/05/03 10:00,5,70
2017/05/03 11:00,5,69.6904761905
2017/05/03 12:00,5,69.2142857143
2017/05/03 13:00,5,68.7380952381
2017/05/03 14:00,5,68.2619047619
2017/05/03 15:00,5,67.4
2017/05/03 16:00,5,66.3
2017/05/03 17:00,5,65.0666666667
2017/05/03 18:00,5,65.6129032258
2017/05/03 19:00,5,68
2017/05/03 20:00,6,71.2857142857
2017/05/03 21:00,6,73.2857142857
2017/05/03 22:00,6,75
2017/05/03 23:00,6,75.5769230769
2017/05/04 00:00,6,76
2017/05/04 01:00,6,75.5454545455
2017/05/04 02:00,6,74.5882352941
2017/05/04 03:00,6,74
2017/05/04 04:00,6,74.024691358
2017/05/04 05:00,6,74.2716049383
2017/05/04 06:00,6,74.5185185185
2017/05/04 07:00,6,74.7654320988
2017/05/04 08:00,6,75
2017/05/04 09:00,6,73.4
2017/05/04 10:00,6,73
2017/05/04 11:00,5,72.5862068966
2017/05/04 12:00,5,72.2307692308
2017/05/04 13:00,4,71.6666666667
2017/05/04 14:00,5,68
2017/05/04 15:00,7,69.4545454545
2017/05/04 16:00,7,70
2017/05/04 17:00,7,70
2017/05/04 18:00,7,70
2017/05/04 19:00,7,69.2352941176
2017/05/04 20:00,7,69
2017/05/04 21:00,7,69
2017/05/04 22:00,7,69
2017/05/04 23:00,7,69
2017/05/05 00:00,7,69
2017/05/05 01:00,7,69
2017/05/05 02:00,7,68
2017/05/05 03:00,7,68
2017/05/05 04:00,7,68
2017/05/05 05:00,7,68
2017/05/05 06:00,6,68
2017/05/05 07:00,6,68
2017/05/05 08:00,6,68
2017/05/05 09:00,5,66.5714285714
2017/05/05 10:00,6,68
2017/05/05 11:00,6,67.48
2017/05/05 12:00,6,67.1860465116
2017/05/05 13:00,6,67.6511627907
2017/05/05 14:00,6,68
2017/05/05 15:00,6,68
2017/05/05 16:00,6,68.3076923077
2017/05/05 17:00,6,68.45
2017/05/05 18:00,6,69
2017/05/05 19:00,6,69
2017/05/05 20:00,5,69.6071428571
2017/05/05 21:00,5,69.5263157895
2017/05/05 22:00,5,69.4761904762
2017/05/05 23:00,5,70.5625
2017/05/06 00:00,5,71.7222222222
2017/05/06 01:00,5,71
2017/05/06 02:00,5,71
2017/05/06 03:00,5,72
2017/05/06 04:00,5,72
2017/05/06 05:00,5,72.4193548387
2017/05/06 06:00,5,73.1666666667
2017/05/06 07:00,5,74.8333333333
2017/05/06 08:00,5,74.9642857143
2017/05/06 09:00,5,74.25
2017/05/06 10:00,5,74
2017/05/06 11:00,5,76.2
2017/05/06 12:00,5,77
2017/05/06 13:00,5,77
2017/05/06 14:00,5,77
2017/05/06 15:00,5,77
2017/05/06 16:00,5,77
2017/05/06 17:00,5,77
2017/05/06 18:00,6,78
2017/05/06 19:00,6,77.8333333333
2017/05/06 20:00,6,76.0322580645
2017/05/06 21:00,6,74.2727272727
2017/05/06 22:00,6,73.3333333333
2017/05/06 23:00,6,78.9090909091
2017/05/07 00:00,6,81
2017/05/07 01:00,7,81
2017/05/07 02:00,7,79.4615384615
2017/05/07 03:00,7,75.45
2017/05/07 04:00,8,77.5
2017/05/07 05:00,8,76
2017/05/07 06:00,8,76
2017/05/07 07:00,8,76
2017/05/07 08:00,8,80
2017/05/07 09:00,8,85
2017/05/07 10:00,9,85.1428571429
2017/05/07 11:00,8,84
2017/05/07 12:00,8,84
2017/05/07 13:00,8,84.0869565217
2017/05/07 14:00,8,84.9565217391
2017/05/07 15:00,8,85.1111111111
2017/05/07 16:00,8,84.2702702703
2017/05/07 17:00,8,84.8108108108
2017/05/07 18:00,8,85.2131147541
2017/05/07 19:00,8,85.5409836066
2017/05/07 20:00,9,85.868852459
2017/05/07 21:00,9,86
2017/05/07 22:00,10,85.2
2017/05/07 23:00,10,83.2
2017/05/08 00:00,10,83.2777777778
2017/05/08 01:00,10,84.25
2017/05/08 02:00,10,84.9642857143
2017/05/08 03:00,11,84.9230769231
2017/05/08 04:00,11,84.1538461538
2017/05/08 05:00,11,83.5
2017/05/08 06:00,11,83
2017/05/08 07:00,12,85
2017/05/08 08:00,12,84
2017/05/08 09:00,11,82.8333333333
2017/05/08 10:00,11,81.9333333333
2017/05/08 11:00,11,81.5
2017/05/08 12:00,11,78
2017/05/08 13:00,11,79
2017/05/08 14:00,11,78
2017/05/08 15:00,11,79
2017/05/08 16:00,10,77.1818181818
2017/05/08 17:00,10,74.5
2017/05/08 18:00,10,75
2017/05/08 19:00,10,75
2017/05/08 20:00,10,73.8
2017/05/08 21:00,9,70.5263157895
2017/05/08 22:00,9,66.6363636364
2017/05/08 23:00,9,66
2017/05/09 00:00,9,69
2017/05/09 01:00,9,72.0588235294
2017/05/09 02:00,9,74.1428571429
2017/05/09 03:00,9,75.4594594595
2017/05/09 04:00,9,76
2017/05/09 05:00,9,76.5405405405
2017/05/09 06:00,9,77.1395348837
2017/05/09 07:00,8,78.0697674419
2017/05/09 08:00,8,79
2017/05/09 09:00,9,77.8
2017/05/09 10:00,8,77
2017/05/09 11:00,7,76
2017/05/09 12:00,6,74.2
2017/05/09 13:00,7,75.5
2017/05/09 14:00,8,74.25
2017/05/09 15:00,8,75
2017/05/09 16:00,8,74.4666666667
2017/05/09 17:00,8,74.9285714286
2017/05/09 18:00,7,74.7142857143
2017/05/09 19:00,7,74
2017/05/09 20:00,8,73.4444444444
2017/05/09 21:00,8,72.2307692308
2017/05/09 22:00,8,73
2017/05/09 23:00,8,73
2017/05/10 00:00,7,71.2727272727
2017/05/10 01:00,7,72.25
2017/05/10 02:00,7,72.2631578947
2017/05/10 03:00,7,72.9375
2017/05/10 04:00,7,72
2017/05/10 05:00,7,72
2017/05/10 06:00,7,72
2017/05/10 07:00,7,72
2017/05/10 08:00,7,72
2017/05/10 09:00,7,72.7894736842
2017/05/10 10:00,7,72.4666666667
2017/05/10 11:00,7,72.75
2017/05/10 12:00,7,72.7313432836
2017/05/10 13:00,7,72.4328358209
2017/05/10 14:00,7,72.1343283582
2017/05/10 15:00,7,72
2017/05/10 16:00,7,72.625
2017/05/10 17:00,7,72.3125
2017/05/10 18:00,7,72.4285714286
2017/05/10 19:00,7,73
2017/05/10 20:00,6,72.2
2017/05/10 21:00,6,73
2017/05/10 22:00,6,74
2017/05/10 23:00,6,74
2017/05/11 00:00,6,74.4242424242
2017/05/11 01:00,7,74.9545454545
2017/05/11 02:00,7,74.0454545455
2017/05/11 03:00,6,74
2017/05/11 04:00,6,74
2017/05/11 05:00,6,74
2017/05/11 06:00,6,74
2017/05/11 07:00,6,75.2222222222
2017/05/11 08:00,6,74.5454545455
2017/05/11 09:00,6,74
2017/05/11 10:00,6,74.04
2017/05/11 11:00,6,74.84
2017/05/11 12:00,6,75
2017/05/11 13:00,6,75
2017/05/11 14:00,6,74.9417475728
2017/05/11 15:00,6,73.7766990291
2017/05/11 16:00,6,72.6116504854
2017/05/11 17:00,6,71.4466019417
2017/05/11 18:00,6,70.2815533981
2017/05/11 19:00,6,69.1165048544
2017/05/11 20:00,6,68.4545454545
2017/05/11 21:00,6,68.2272727273
2017/05/11 22:00,6,69.3243243243
2017/05/11 23:00,7,71.4864864865
2017/05/12 00:00,7,73.6
2017/05/12 01:00,7,75
2017/05/12 02:00,7,74.5
2017/05/12 03:00,7,74
2017/05/12 04:00,7,74
2017/05/12 05:00,8,79
2017/05/12 06:00,7,75.6
2017/05/12 07:00,7,76
2017/05/12 08:00,6,74.2105263158
2017/05/12 09:00,7,75
2017/05/12 10:00,7,72.6086956522
2017/05/12 11:00,7,72
2017/05/12 12:00,7,72
2017/05/12 13:00,8,72
2017/05/12 14:00,8,72
2017/05/12 15:00,7,71
2017/05/12 16:00,7,71
2017/05/12 17:00,7,71
2017/05/12 18:00,7,70.1666666667
2017/05/12 19:00,7,71.2352941176
2017/05/12 20:00,7,72
2017/05/12 21:00,7,72
2017/05/12 22:00,6,72
2017/05/12 23:00,6,72
2017/05/13 00:00,6,72
2017/05/13 01:00,6,72
2017/05/13 02:00,6,74.2666666667
2017/05/13 03:00,6,75
2017/05/13 04:00,6,75
2017/05/13 05:00,7,74.9615384615
2017/05/13 06:00,6,74.1923076923
2017/05/13 07:00,6,74
2017/05/13 08:00,6,73.3548387097
2017/05/13 09:00,6,72.55
2017/05/13 10:00,6,72
2017/05/13 11:00,6,72
2017/05/13 12:00,6,72.2083333333
2017/05/13 13:00,6,73.3571428571
2017/05/13 14:00,6,78.8
2017/05/13 15:00,6,81.0857142857
2017/05/13 16:00,6,82.4615384615
2017/05/13 17:00,6,83
2017/05/13 18:00,6,83
2017/05/13 19:00,6,83
2017/05/13 20:00,6,83
2017/05/13 21:00,6,82.7826086957
2017/05/13 22:00,6,82.1379310345
2017/05/13 23:00,6,83.5172413793
2017/05/14 00:00,6,83.380952381
2017/05/14 01:00,6,83.6
2017/05/14 02:00,7,84
2017/05/14 03:00,7,84
2017/05/14 04:00,7,83
2017/05/14 05:00,7,81
2017/05/14 06:00,7,81.25
2017/05/14 07:00,7,81.875
2017/05/14 08:00,7,82
2017/05/14 09:00,7,80.8
2017/05/14 10:00,7,80
2017/05/14 11:00,6,80
2017/05/14 12:00,6,80
2017/05/14 13:00,7,80
2017/05/14 14:00,8,79.2307692308
2017/05/14 15:00,10,80
2017/05/14 16:00,10,79
2017/05/14 17:00,10,77.625
2017/05/14 18:00,10,76
2017/05/14 19:00,11,76.8333333333
2017/05/14 20:00,10,78
2017/05/14 21:00,11,78
2017/05/14 22:00,10,77
2017/05/14 23:00,10,77
2017/05/15 00:00,10,76.3225806452
2017/05/15 01:00,10,74.3870967742
2017/05/15 02:00,10,68.75
2017/05/15 03:00,9,73.3333333333
2017/05/15 04:00,9,76
2017/05/15 05:00,9,77
2017/05/15 06:00,9,76.05
2017/05/15 07:00,9,75
2017/05/15 08:00,8,76
2017/05/15 09:00,8,75
2017/05/15 10:00,8,75
2017/05/15 11:00,7,73.5454545455
2017/05/15 12:00,7,73
2017/05/15 13:00,8,72
2017/05/15 14:00,8,72.5789473684
2017/05/15 15:00,8,72
2017/05/15 16:00,8,70.5714285714
2017/05/15 17:00,7,70
2017/05/15 18:00,7,69.2666666667
2017/05/15 19:00,7,67
2017/05/15 20:00,7,67.3333333333
2017/05/15 21:00,7,70.5
2017/05/15 22:00,7,72
2017/05/15 23:00,7,74.5555555556
2017/05/16 00:00,7,72.5714285714
2017/05/16 01:00,7,71.5789473684
2017/05/16 02:00,6,71
2017/05/16 03:00,6,71
2017/05/16 04:00,6,70.6315789474
2017/05/16 05:00,6,70
2017/05/16 06:00,6,69.2222222222
2017/05/16 07:00,6,70
2017/05/16 08:00,6,69.6170212766
2017/05/16 09:00,6,69.1914893617
2017/05/16 10:00,6,69
2017/05/16 11:00,5,69.8461538462
2017/05/16 12:00,6,69
2017/05/16 13:00,7,70
2017/05/16 14:00,6,68.8125
2017/05/16 15:00,6,68
2017/05/16 16:00,6,68
2017/05/16 17:00,6,68
2017/05/16 18:00,6,68
2017/05/16 19:00,6,68.6363636364
2017/05/16 20:00,6,68.84
2017/05/16 21:00,6,68.5733333333
2017/05/16 22:00,6,68.3066666667
2017/05/16 23:00,6,68.04
2017/05/17 00:00,6,68
2017/05/17 01:00,6,68
2017/05/17 02:00,6,67.6285714286
2017/05/17 03:00,6,67.0571428571
2017/05/17 04:00,5,67
2017/05/17 05:00,5,67
2017/05/17 06:00,6,67.1764705882
2017/05/17 07:00,6,68
2017/05/17 08:00,6,68.4838709677
2017/05/17 09:00,6,68.9
2017/05/17 10:00,5,68.4
2017/05/17 11:00,5,68.1481481481
2017/05/17 12:00,6,68.8888888889
2017/05/17 13:00,5,69
2017/05/17 14:00,6,69.4117647059
2017/05/17 15:00,6,70
2017/05/17 16:00,6,68.1818181818
2017/05/17 17:00,5,68
2017/05/17 18:00,5,67.9411764706
2017/05/17 19:00,5,67.3529411765
2017/05/17 20:00,5,67
2017/05/17 21:00,5,67
2017/05/17 22:00,5,67.8
2017/05/17 23:00,5,68
2017/05/18 00:00,5,68
2017/05/18 01:00,5,67.5277777778
2017/05/18 02:00,5,67
2017/05/18 03:00,5,67.4285714286
2017/05/18 04:00,5,68
2017/05/18 05:00,5,68
2017/05/18 06:00,5,68.1481481481
2017/05/18 07:00,5,68.5185185185
2017/05/18 08:00,5,68.8888888889
2017/05/18 09:00,5,69.4827586207
2017/05/18 10:00,5,70
2017/05/18 11:00,5,70
2017/05/18 12:00,5,70
2017/05/18 13:00,5,70
2017/05/18 14:00,5,70.0967741935
2017/05/18 15:00,6,70.7419354839
2017/05/18 16:00,6,75.3
2017/05/18 17:00,5,76.9285714286
2017/05/18 18:00,5,80.5882352941
2017/05/18 19:00,5,85.6666666667
2017/05/18 20:00,5,82
2017/05/18 21:00,5,90.1
2017/05/18 22:00,5,92.3783783784
2017/05/18 23:00,5,94
2017/05/19 00:00,5,94.5882352941
2017/05/19 01:00,5,94.25
2017/05/19 02:00,6,91.0769230769
2017/05/19 03:00,6,89.2857142857
2017/05/19 04:00,6,92.1428571429
2017/05/19 05:00,6,94.037037037
2017/05/19 06:00,7,94.6956521739
2017/05/19 07:00,8,94.7272727273
2017/05/19 08:00,11,98.4285714286
2017/05/19 09:00,12,95.5
2017/05/19 10:00,15,103.6666666667
2017/05/19 11:00,17,95.2
2017/05/19 12:00,18,96
2017/05/19 13:00,18,91.3
2017/05/19 14:00,18,90.0588235294
2017/05/19 15:00,20,89
2017/05/19 16:00,21,85.25
2017/05/19 17:00,20,82.4545454545
2017/05/19 18:00,18,87.9411764706
2017/05/19 19:00,16,89
2017/05/19 20:00,17,84.6666666667
2017/05/19 21:00,17,83.1951219512
2017/05/19 22:00,16,83.6829268293
2017/05/19 23:00,15,83.3
2017/05/20 00:00,15,83.4358974359
2017/05/20 01:00,14,83.9487179487
2017/05/20 02:00,14,82.1428571429
2017/05/20 03:00,13,81
2017/05/20 04:00,11,79.3333333333
2017/05/20 05:00,13,79.1428571429
2017/05/20 06:00,12,78.1428571429
2017/05/20 07:00,12,78.8571428571
2017/05/20 08:00,11,78.5
2017/05/20 09:00,11,78.1428571429
2017/05/20 10:00,11,77.8333333333
2017/05/20 11:00,11,77
2017/05/20 12:00,11,77.2857142857
2017/05/20 13:00,11,77.8
2017/05/20 14:00,10,77
2017/05/20 15:00,10,76
2017/05/20 16:00,10,76
2017/05/20 17:00,9,76
2017/05/20 18:00,9,76
2017/05/20 19:00,9,76
2017/05/20 20:00,9,75
2017/05/20 21:00,9,75
2017/05/20 22:00,9,74.7575757576
2017/05/20 23:00,9,74.1515151515
2017/05/21 00:00,9,73.25
2017/05/21 01:00,9,73
2017/05/21 02:00,9,73.298245614
2017/05/21 03:00,8,73.649122807
2017/05/21 04:00,8,74
2017/05/21 05:00,8,73
2017/05/21 06:00,8,73
2017/05/21 07:00,8,74
2017/05/21 08:00,8,74
2017/05/21 09:00,8,73.9696969697
2017/05/21 10:00,8,73.3636363636
2017/05/21 11:00,8,73.4210526316
2017/05/21 12:00,8,74
2017/05/21 13:00,8,74
2017/05/21 14:00,8,73.2
2017/05/21 15:00,8,73
2017/05/21 16:00,7,73.1111111111
2017/05/21 17:00,7,73
2017/05/21 18:00,7,72.8823529412
2017/05/21 19:00,7,72
2017/05/21 20:00,7,72
2017/05/21 21:00,7,72
2017/05/21 22:00,7,72
2017/05/21 23:00,7,72
2017/05/22 00:00,7,72
2017/05/22 01:00,7,72
2017/05/22 02:00,7,72
2017/05/22 03:00,7,71
2017/05/22 04:00,7,71
2017/05/22 05:00,7,71
2017/05/22 06:00,7,71.5263157895
2017/05/22 07:00,7,72
2017/05/22 08:00,7,72
2017/05/22 09:00,7,71
2017/05/22 10:00,7,71
2017/05/22 11:00,7,70.4375
2017/05/22 12:00,7,70.2857142857
2017/05/22 13:00,7,70.375
2017/05/22 14:00,7,70
2017/05/22 15:00,7,70
2017/05/22 16:00,6,70
2017/05/22 17:00,6,70
2017/05/22 18:00,6,70
2017/05/22 19:00,6,70
2017/05/22 20:00,6,70
2017/05/22 21:00,6,70
2017/05/22 22:00,6,70
2017/05/22 23:00,6,70
2017/05/23 00:00,6,70
2017/05/23 01:00,6,70
2017/05/23 02:00,6,70
2017/05/23 03:00,6,69.5789473684
2017/05/23 04:00,6,67.7058823529
2017/05/23 05:00,6,67
2017/05/23 06:00,6,69.6666666667
2017/05/23 07:00,6,71.34375
2017/05/23 08:00,6,69.46875
2017/05/23 09:00,6,67.9285714286
2017/05/23 10:00,6,66.5
2017/05/23 11:00,6,65.4693877551
2017/05/23 12:00,6,64.6530612245
2017/05/23 13:00,6,64.2105263158
2017/05/23 14:00,6,65.4166666667
2017/05/23 15:00,6,67.0833333333
2017/05/23 16:00,6,69.0588235294
2017/05/23 17:00,6,70
2017/05/23 18:00,6,69.72
2017/05/23 19:00,6,69.0833333333
2017/05/23 20:00,6,69.9166666667
2017/05/23 21:00,6,69.6666666667
2017/05/23 22:00,6,70
2017/05/23 23:00,6,70
2017/05/24 00:00,5,70
2017/05/24 01:00,6,70
2017/05/24 02:00,5,69.6666666667
2017/05/24 03:00,6,68.8888888889
2017/05/24 04:00,6,68.6
2017/05/24 05:00,5,68.3043478261
2017/05/24 06:00,6,68
2017/05/24 07:00,6,68.7857142857
2017/05/24 08:00,6,68.5
2017/05/24 09:00,6,68.4838709677
2017/05/24 10:00,6,68.875
2017/05/24 11:00,6,68.25
2017/05/24 12:00,6,67.3684210526
2017/05/24 13:00,6,67.619047619
2017/05/24 14:00,6,68.48
2017/05/24 15:00,5,69
2017/05/24 16:00,6,68.5384615385
2017/05/24 17:00,5,68.5483870968
2017/05/24 18:00,5,68
2017/05/24 19:00,6,67.9
2017/05/24 20:00,5,67
2017/05/24 21:00,5,67
2017/05/24 22:00,5,67
2017/05/24 23:00,5,67.0833333333
2017/05/25 00:00,5,67.1176470588
2017/05/25 01:00,5,67.7058823529
2017/05/25 02:00,5,67
2017/05/25 03:00,5,67
2017/05/25 04:00,5,67.5925925926
2017/05/25 05:00,5,68.3913043478
2017/05/25 06:00,5,68.8775510204
2017/05/25 07:00,5,68.4693877551
2017/05/25 08:00,5,68.0612244898
2017/05/25 09:00,5,67.4137931034
2017/05/25 10:00,5,66.724137931
2017/05/25 11:00,5,66.0344827586
2017/05/25 12:00,5,66.6785714286
2017/05/25 13:00,5,67.22
2017/05/25 14:00,5,67.62
2017/05/25 15:00,5,68
2017/05/25 16:00,5,68
2017/05/25 17:00,5,68
2017/05/25 18:00,5,66.2
2017/05/25 19:00,5,67
2017/05/25 20:00,5,67
2017/05/25 21:00,5,67
2017/05/25 22:00,5,67
2017/05/25 23:00,5,67
2017/05/26 00:00,5,67
2017/05/26 01:00,5,66.6756756757
2017/05/26 02:00,5,66.1351351351
2017/05/26 03:00,5,66.8823529412
2017/05/26 04:00,5,66.4545454545
2017/05/26 05:00,5,66
2017/05/26 06:00,5,66.1428571429
2017/05/26 07:00,5,66.619047619
2017/05/26 08:00,5,66.7142857143
2017/05/26 09:00,5,65.0909090909
2017/05/26 10:00,5,66
2017/05/26 11:00,5,66
2017/05/26 12:00,5,65.7272727273
2017/05/26 13:00,5,66.4666666667
2017/05/26 14:00,5,66.5714285714
2017/05/26 15:00,5,66.6
2017/05/26 16:00,5,66
2017/05/26 17:00,4,66.5625
2017/05/26 18:00,5,67
2017/05/26 19:00,5,67
2017/05/26 20:00,5,66.2727272727
2017/05/26 21:00,4,65
2017/05/26 22:00,4,65
2017/05/26 23:00,4,65
2017/05/27 00:00,4,65
2017/05/27 01:00,5,64.5882352941
2017/05/27 02:00,5,64
2017/05/27 03:00,4,65
2017/05/27 04:00,4,65
2017/05/27 05:00,5,65.1
2017/05/27 06:00,5,66
2017/05/27 07:00,5,65.3928571429
2017/05/27 08:00,5,65.3103448276
2017/05/27 09:00,5,66
2017/05/27 10:00,5,65.2
2017/05/27 11:00,5,65
2017/05/27 12:00,5,65
2017/05/27 13:00,5,64.2173913043
2017/05/27 14:00,5,64
2017/05/27 15:00,5,64
2017/05/27 16:00,5,64
2017/05/27 17:00,4,64
2017/05/27 18:00,4,64.0612244898
2017/05/27 19:00,4,64.4693877551
2017/05/27 20:00,4,64.8775510204
2017/05/27 21:00,4,65.1111111111
2017/05/27 22:00,4,65.8518518519
2017/05/27 23:00,4,66
2017/05/28 00:00,4,66
2017/05/28 01:00,4,66
2017/05/28 02:00,4,66
2017/05/28 03:00,4,66
2017/05/28 04:00,4,66.3928571429
2017/05/28 05:00,4,67.6
2017/05/28 06:00,4,71
2017/05/28 07:00,4,71
2017/05/28 08:00,4,71
2017/05/28 09:00,4,70.66
2017/05/28 10:00,4,70.26
2017/05/28 11:00,4,67.2
2017/05/28 12:00,4,65.5263157895
2017/05/28 13:00,4,67
2017/05/28 14:00,4,68.1343283582
2017/05/28 15:00,4,68.4328358209
2017/05/28 16:00,4,68.7313432836
2017/05/28 17:00,4,68.9310344828
2017/05/28 18:00,4,68.2413793103
2017/05/28 19:00,4,65.8571428571
2017/05/28 20:00,4,64.4285714286
2017/05/28 21:00,4,63.641025641
2017/05/28 22:00,4,63.1282051282
2017/05/28 23:00,4,64.7058823529
2017/05/29 00:00,4,66.1475409836
2017/05/29 01:00,4,66.4754098361
2017/05/29 02:00,4,66.8032786885
2017/05/29 03:00,4,67.5161290323
2017/05/29 04:00,4,68.8064516129
2017/05/29 05:00,4,70.0967741935
2017/05/29 06:00,4,71
2017/05/29 07:00,4,71
2017/05/29 08:00,5,68.8333333333
2017/05/29 09:00,5,65.6315789474
2017/05/29 10:00,5,64
2017/05/29 11:00,4,64.6
2017/05/29 12:00,5,64
2017/05/29 13:00,4,64
2017/05/29 14:00,4,63.75
2017/05/29 15:00,4,63.625
2017/05/29 16:00,4,63
2017/05/29 17:00,4,64
2017/05/29 18:00,4,64
2017/05/29 19:00,4,64.75
2017/05/29 20:00,4,64.5
2017/05/29 21:00,4,64.9090909091
2017/05/29 22:00,4,64
2017/05/29 23:00,4,64
2017/05/30 00:00,4,64
2017/05/30 01:00,4,64
2017/05/30 02:00,4,64.6153846154
2017/05/30 03:00,4,64
2017/05/30 04:00,4,63.7272727273
2017/05/30 05:00,4,63.5
2017/05/30 06:00,4,62.6666666667
2017/05/30 07:00,4,62.0833333333
2017/05/30 08:00,4,62.125
2017/05/30 09:00,4,63
2017/05/30 10:00,4,63.619047619
2017/05/30 11:00,4,63
2017/05/30 12:00,4,64
2017/05/30 13:00,4,64
2017/05/30 14:00,4,64
2017/05/30 15:00,4,63.6956521739
2017/05/30 16:00,4,63.3636363636
2017/05/30 17:00,4,64
2017/05/30 18:00,4,63.7894736842
2017/05/30 19:00,4,61.6666666667
2017/05/30 20:00,4,59
2017/05/30 21:00,4,59
2017/05/30 22:00,4,59.5185185185
2017/05/30 23:00,4,60.2592592593
2017/05/31 00:00,4,61
2017/05/31 01:00,4,61.5882352941
2017/05/31 02:00,4,61.4705882353
2017/05/31 03:00,4,59.7058823529
2017/05/31 04:00,4,61
2017/05/31 05:00,4,62.6363636364
2017/05/31 06:00,4,63
2017/05/31 07:00,4,62.8
2017/05/31 08:00,4,62
2017/05/31 09:00,4,62.75
2017/05/31 10:00,4,62
2017/05/31 11:00,4,62
2017/05/31 12:00,4,62
2017/05/31 13:00,4,62
2017/05/31 14:00,3,62
2017/05/31 15:00,3,62
2017/05/31 16:00,4,62
2017/05/31 17:00,4,62
2017/05/31 18:00,4,62
2017/05/31 19:00,4,62
2017/05/31 20:00,4,62
2017/05/31 21:00,4,62
2017/05/31 22:00,4,62
2017/05/31 23:00,4,62
